PROBE_V1
p=0.0028561201553 q=539.85836953134014
p=0.0028561201553002498 q=539.85836953134083
p=0.0028561201553005001 q=539.85836953134151
p=0.0028561201553007499 q=539.85836953134219
p=0.0028561201553010001 q=539.85836953134276
p=0.0028561201553012499 q=539.85836953134333
p=0.0028561201553015001 q=539.85836953134412
p=0.0028561201553017499 q=539.85836953134469
p=0.0028561201553020002 q=539.85836953134537
p=0.00285612015530225 q=539.85836953134594
p=0.0028561201553025002 q=539.85836953134674
p=0.00285612015530275 q=539.85836953134742
p=0.0028561201553030002 q=539.85836953134799
p=0.00285612015530325 q=539.85836953134856
p=0.0028561201553034998 q=539.85836953134935
p=0.0028561201553037501 q=539.85836953135004
p=0.0028561201553039999 q=539.8583695313506
p=0.0028561201553042501 q=539.85836953135117
p=0.0028561201553044999 q=539.85836953135185
p=0.0028561201553047501 q=539.85836953135254
p=0.0028561201553049999 q=539.85836953135333
p=0.0028561201553052502 q=539.8583695313539
p=0.0028561201553055 q=539.85836953135447
p=0.0028561201553057502 q=539.85836953135504
p=0.002856120155306 q=539.85836953135572
p=0.0028561201553062503 q=539.8583695313564
p=0.0028561201553065001 q=539.85836953135708
p=0.0028561201553067499 q=539.85836953135765
p=0.0028561201553070001 q=539.85836953135833
p=0.0028561201553072499 q=539.85836953135902
p=0.0028561201553075001 q=539.85836953135981
p=0.0028561201553077499 q=539.85836953136027
p=0.0028561201553080002 q=539.85836953136106
p=0.00285612015530825 q=539.85836953136163
p=0.0028561201553085002 q=539.85836953136231
p=0.00285612015530875 q=539.85836953136288
p=0.0028561201553090002 q=539.85836953136356
p=0.00285612015530925 q=539.85836953136436
p=0.0028561201553094998 q=539.85836953136493
p=0.0028561201553097501 q=539.8583695313655
p=0.0028561201553099999 q=539.85836953136618
p=0.0028561201553102501 q=539.85836953136675
p=0.0028561201553104999 q=539.85836953136754
p=0.0028561201553107501 q=539.85836953136811
p=0.0028561201553109999 q=539.85836953136879
p=0.0028561201553112502 q=539.85836953136936
p=0.0028561201553115 q=539.85836953137016
p=0.0028561201553117502 q=539.85836953137084
p=0.002856120155312 q=539.85836953137141
p=0.0028561201553122502 q=539.85836953137198
p=0.0028561201553125 q=539.85836953137277
p=0.0028561201553127498 q=539.85836953137346
p=0.0028561201553130001 q=539.85836953137402
p=0.0028561201553132499 q=539.85836953137471
p=0.0028561201553135001 q=539.85836953137527
p=0.0028561201553137499 q=539.85836953137607
p=0.0028561201553140001 q=539.85836953137675
p=0.0028561201553142499 q=539.85836953137743
p=0.0028561201553145002 q=539.85836953137789
p=0.00285612015531475 q=539.85836953137868
p=0.0028561201553150002 q=539.85836953137937
p=0.00285612015531525 q=539.85836953138005
p=0.0028561201553155002 q=539.8583695313805
p=0.00285612015531575 q=539.8583695313813
p=0.0028561201553159998 q=539.85836953138187
p=0.0028561201553162501 q=539.85836953138255
p=0.0028561201553164999 q=539.85836953138323
p=0.0028561201553167501 q=539.85836953138391
p=0.0028561201553169999 q=539.85836953138437
p=0.0028561201553172501 q=539.85836953138516
p=0.0028561201553174999 q=539.85836953138573
p=0.0028561201553177502 q=539.8583695313863
p=0.002856120155318 q=539.85836953138698
p=0.0028561201553182502 q=539.85836953138778
p=0.0028561201553185 q=539.85836953138835
p=0.0028561201553187502 q=539.85836953138892
p=0.002856120155319 q=539.85836953138971
p=0.0028561201553192498 q=539.85836953139039
p=0.0028561201553195001 q=539.85836953139096
p=0.0028561201553197499 q=539.85836953139165
p=0.0028561201553200001 q=539.85836953139233
p=0.0028561201553202499 q=539.85836953139278
p=0.0028561201553205001 q=539.85836953139358
p=0.0028561201553207499 q=539.85836953139415
p=0.0028561201553210002 q=539.85836953139483
p=0.00285612015532125 q=539.8583695313954
p=0.0028561201553215002 q=539.85836953139619
p=0.00285612015532175 q=539.85836953139687
p=0.0028561201553220002 q=539.85836953139744
p=0.00285612015532225 q=539.85836953139801
p=0.0028561201553224998 q=539.85836953139881
p=0.0028561201553227501 q=539.85836953139949
p=0.0028561201553229999 q=539.85836953140017
p=0.0028561201553232501 q=539.85836953140074
p=0.0028561201553234999 q=539.85836953140131
p=0.0028561201553237501 q=539.8583695314021
p=0.0028561201553239999 q=539.85836953140279
p=0.0028561201553242502 q=539.85836953140347
p=0.0028561201553245 q=539.85836953140392
p=0.0028561201553247502 q=539.85836953140472
p=0.002856120155325 q=539.85836953140529
