PROBE_V1
p=0.0028561201553 q=547.76569688602456
p=0.0028561201553002498 q=547.76569688602467
p=0.0028561201553005001 q=547.76569688602478
p=0.0028561201553007499 q=547.7656968860249
p=0.0028561201553010001 q=547.76569688602513
p=0.0028561201553012499 q=547.76569688602524
p=0.0028561201553015001 q=547.76569688602535
p=0.0028561201553017499 q=547.76569688602558
p=0.0028561201553020002 q=547.76569688602569
p=0.00285612015530225 q=547.76569688602581
p=0.0028561201553025002 q=547.76569688602592
p=0.00285612015530275 q=547.76569688602615
p=0.0028561201553030002 q=547.76569688602626
p=0.00285612015530325 q=547.76569688602638
p=0.0028561201553034998 q=547.76569688602649
p=0.0028561201553037501 q=547.76569688602672
p=0.0028561201553039999 q=547.76569688602683
p=0.0028561201553042501 q=547.76569688602694
p=0.0028561201553044999 q=547.76569688602717
p=0.0028561201553047501 q=547.76569688602729
p=0.0028561201553049999 q=547.7656968860274
p=0.0028561201553052502 q=547.76569688602751
p=0.0028561201553055 q=547.76569688602774
p=0.0028561201553057502 q=547.76569688602785
p=0.002856120155306 q=547.76569688602797
p=0.0028561201553062503 q=547.76569688602819
p=0.0028561201553065001 q=547.76569688602831
p=0.0028561201553067499 q=547.76569688602842
p=0.0028561201553070001 q=547.76569688602854
p=0.0028561201553072499 q=547.76569688602876
p=0.0028561201553075001 q=547.76569688602888
p=0.0028561201553077499 q=547.76569688602899
p=0.0028561201553080002 q=547.7656968860291
p=0.00285612015530825 q=547.76569688602933
p=0.0028561201553085002 q=547.76569688602945
p=0.00285612015530875 q=547.76569688602967
p=0.0028561201553090002 q=547.76569688602979
p=0.00285612015530925 q=547.7656968860299
p=0.0028561201553094998 q=547.76569688603001
p=0.0028561201553097501 q=547.76569688603013
p=0.0028561201553099999 q=547.76569688603036
p=0.0028561201553102501 q=547.76569688603047
p=0.0028561201553104999 q=547.76569688603058
p=0.0028561201553107501 q=547.76569688603081
p=0.0028561201553109999 q=547.76569688603092
p=0.0028561201553112502 q=547.76569688603104
p=0.0028561201553115 q=547.76569688603126
p=0.0028561201553117502 q=547.76569688603138
p=0.002856120155312 q=547.76569688603149
p=0.0028561201553122502 q=547.76569688603172
p=0.0028561201553125 q=547.76569688603183
p=0.0028561201553127498 q=547.76569688603195
p=0.0028561201553130001 q=547.76569688603206
p=0.0028561201553132499 q=547.76569688603217
p=0.0028561201553135001 q=547.7656968860324
p=0.0028561201553137499 q=547.76569688603252
p=0.0028561201553140001 q=547.76569688603263
p=0.0028561201553142499 q=547.76569688603286
p=0.0028561201553145002 q=547.76569688603297
p=0.00285612015531475 q=547.76569688603308
p=0.0028561201553150002 q=547.76569688603331
p=0.00285612015531525 q=547.76569688603342
p=0.0028561201553155002 q=547.76569688603354
p=0.00285612015531575 q=547.76569688603365
p=0.0028561201553159998 q=547.76569688603377
p=0.0028561201553162501 q=547.76569688603399
p=0.0028561201553164999 q=547.76569688603411
p=0.0028561201553167501 q=547.76569688603422
p=0.0028561201553169999 q=547.76569688603445
p=0.0028561201553172501 q=547.76569688603456
p=0.0028561201553174999 q=547.76569688603468
p=0.0028561201553177502 q=547.7656968860349
p=0.002856120155318 q=547.76569688603502
p=0.0028561201553182502 q=547.76569688603513
p=0.0028561201553185 q=547.76569688603536
p=0.0028561201553187502 q=547.76569688603547
p=0.002856120155319 q=547.76569688603558
p=0.0028561201553192498 q=547.7656968860357
p=0.0028561201553195001 q=547.76569688603581
p=0.0028561201553197499 q=547.76569688603604
p=0.0028561201553200001 q=547.76569688603615
p=0.0028561201553202499 q=547.76569688603627
p=0.0028561201553205001 q=547.76569688603649
p=0.0028561201553207499 q=547.76569688603661
p=0.0028561201553210002 q=547.76569688603672
p=0.00285612015532125 q=547.76569688603684
p=0.0028561201553215002 q=547.76569688603706
p=0.00285612015532175 q=547.76569688603718
p=0.0028561201553220002 q=547.7656968860374
p=0.00285612015532225 q=547.7656968860374
p=0.0028561201553224998 q=547.76569688603763
p=0.0028561201553227501 q=547.76569688603774
p=0.0028561201553229999 q=547.76569688603786
p=0.0028561201553232501 q=547.76569688603809
p=0.0028561201553234999 q=547.7656968860382
p=0.0028561201553237501 q=547.76569688603831
p=0.0028561201553239999 q=547.76569688603854
p=0.0028561201553242502 q=547.76569688603865
p=0.0028561201553245 q=547.76569688603877
p=0.0028561201553247502 q=547.765696886039
p=0.002856120155325 q=547.76569688603911
p=0.0028561201553252502 q=547.76569688603922
p=0.0028561201553255 q=547.76569688603934
p=0.0028561201553257498 q=547.76569688603945
p=0.0028561201553260001 q=547.76569688603968
p=0.0028561201553262499 q=547.76569688603979
p=0.0028561201553265001 q=547.7656968860399
p=0.0028561201553267499 q=547.76569688604013
p=0.0028561201553270001 q=547.76569688604025
p=0.0028561201553272499 q=547.76569688604036
p=0.0028561201553275002 q=547.76569688604059
p=0.00285612015532775 q=547.7656968860407
p=0.0028561201553280002 q=547.76569688604081
p=0.00285612015532825 q=547.76569688604093
p=0.0028561201553284998 q=547.76569688604116
p=0.00285612015532875 q=547.76569688604127
p=0.0028561201553289998 q=547.76569688604138
p=0.0028561201553292501 q=547.7656968860415
p=0.0028561201553294999 q=547.76569688604172
p=0.0028561201553297501 q=547.76569688604184
p=0.0028561201553299999 q=547.76569688604195
p=0.0028561201553302502 q=547.76569688604218
p=0.0028561201553305 q=547.76569688604229
p=0.0028561201553307502 q=547.76569688604241
p=0.002856120155331 q=547.76569688604263
p=0.0028561201553312502 q=547.76569688604275
p=0.0028561201553315 q=547.76569688604286
p=0.0028561201553317498 q=547.76569688604297
p=0.0028561201553320001 q=547.76569688604309
p=0.0028561201553322499 q=547.76569688604332
p=0.0028561201553325001 q=547.76569688604343
p=0.0028561201553327499 q=547.76569688604354
p=0.0028561201553330001 q=547.76569688604366
p=0.0028561201553332499 q=547.76569688604388
p=0.0028561201553335002 q=547.765696886044
p=0.00285612015533375 q=547.76569688604411
p=0.0028561201553340002 q=547.76569688604434
p=0.00285612015533425 q=547.76569688604445
p=0.0028561201553345002 q=547.76569688604457
p=0.00285612015533475 q=547.76569688604468
p=0.0028561201553349998 q=547.76569688604491
p=0.0028561201553352501 q=547.76569688604502
p=0.0028561201553354999 q=547.76569688604513
p=0.0028561201553357501 q=547.76569688604536
p=0.0028561201553359999 q=547.76569688604548
p=0.0028561201553362501 q=547.76569688604559
p=0.0028561201553364999 q=547.7656968860457
p=0.0028561201553367502 q=547.76569688604593
p=0.002856120155337 q=547.76569688604604
p=0.0028561201553372502 q=547.76569688604616
p=0.0028561201553375 q=547.76569688604638
p=0.0028561201553377502 q=547.7656968860465
p=0.002856120155338 q=547.76569688604661
p=0.0028561201553382498 q=547.76569688604684
p=0.0028561201553385001 q=547.76569688604695
p=0.0028561201553387499 q=547.76569688604707
p=0.0028561201553390001 q=547.76569688604718
p=0.0028561201553392499 q=547.76569688604741
p=0.0028561201553395001 q=547.76569688604752
p=0.0028561201553397499 q=547.76569688604764
p=0.0028561201553400002 q=547.76569688604775
p=0.00285612015534025 q=547.76569688604798
p=0.0028561201553405002 q=547.76569688604809
p=0.00285612015534075 q=547.7656968860482
p=0.0028561201553410002 q=547.76569688604843
p=0.00285612015534125 q=547.76569688604854
p=0.0028561201553414998 q=547.76569688604866
p=0.0028561201553417501 q=547.76569688604877
p=0.0028561201553419999 q=547.765696886049
p=0.0028561201553422501 q=547.76569688604911
p=0.0028561201553424999 q=547.76569688604923
p=0.0028561201553427501 q=547.76569688604945
p=0.0028561201553429999 q=547.76569688604957
p=0.0028561201553432502 q=547.76569688604968
p=0.0028561201553435 q=547.7656968860498
p=0.0028561201553437502 q=547.76569688604991
p=0.002856120155344 q=547.76569688605014
p=0.0028561201553442502 q=547.76569688605025
p=0.0028561201553445 q=547.76569688605036
p=0.0028561201553447498 q=547.76569688605059
p=0.0028561201553450001 q=547.7656968860507
p=0.0028561201553452499 q=547.76569688605082
p=0.0028561201553455001 q=547.76569688605105
p=0.0028561201553457499 q=547.76569688605116
p=0.0028561201553460001 q=547.76569688605127
p=0.0028561201553462499 q=547.76569688605139
p=0.0028561201553465002 q=547.76569688605161
p=0.00285612015534675 q=547.76569688605173
p=0.0028561201553470002 q=547.76569688605184
p=0.00285612015534725 q=547.76569688605196
p=0.0028561201553474998 q=547.76569688605218
p=0.00285612015534775 q=547.7656968860523
p=0.0028561201553479998 q=547.76569688605241
p=0.0028561201553482501 q=547.76569688605264
p=0.0028561201553484999 q=547.76569688605275
p=0.0028561201553487501 q=547.76569688605287
p=0.0028561201553489999 q=547.76569688605309
p=0.0028561201553492501 q=547.76569688605321
p=0.0028561201553494999 q=547.76569688605332
p=0.0028561201553497502 q=547.76569688605343
p=0.00285612015535 q=547.76569688605355
p=0.0028561201553502502 q=547.76569688605377
p=0.0028561201553505 q=547.76569688605389
p=0.0028561201553507498 q=547.765696886054
p=0.002856120155351 q=547.76569688605423
p=0.0028561201553512498 q=547.76569688605434
p=0.0028561201553515001 q=547.76569688605446
p=0.0028561201553517499 q=547.76569688605468
p=0.0028561201553520001 q=547.7656968860548
p=0.0028561201553522499 q=547.76569688605491
p=0.0028561201553525001 q=547.76569688605503
p=0.0028561201553527499 q=547.76569688605525
p=0.0028561201553530002 q=547.76569688605537
p=0.00285612015535325 q=547.76569688605548
p=0.0028561201553535002 q=547.76569688605559
p=0.00285612015535375 q=547.76569688605582
p=0.0028561201553539998 q=547.76569688605593
p=0.0028561201553542501 q=547.76569688605605
p=0.0028561201553544999 q=547.76569688605628
p=0.0028561201553547501 q=547.76569688605639
p=0.0028561201553549999 q=547.7656968860565
p=0.0028561201553552501 q=547.76569688605673
p=0.0028561201553554999 q=547.76569688605684
p=0.0028561201553557502 q=547.76569688605696
p=0.002856120155356 q=547.76569688605707
p=0.0028561201553562502 q=547.76569688605719
p=0.0028561201553565 q=547.76569688605741
p=0.0028561201553567502 q=547.76569688605753
